4pHA|13759|Sakurasou no Pet na Kanojo|0|0|1|Low
4pHA|101|Air|7|13|2|Low
4pHA|30123|Akagami no Shirayuki-hime|0|12|2|Low
4pHA|8676|Amagami SS|0|25|2|Low
4pHA|9989|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.|10|11|2|Low
4pHA|11433|Ano Natsu de Matteru|10|12|2|Low
4pHA|4999|Asu no Yoichi!|0|12|2|Low
4pHA|7674|Bakuman.|0|25|2|Low
4pHA|10030|Bakuman. 2nd Season|0|25|2|Low
4pHA|12365|Bakuman. 3rd Season|0|25|2|Low
4pHA|889|Black Lagoon|0|12|2|Low
4pHA|1519|Black Lagoon: The Second Barrage|0|12|2|Low
4pHA|10719|Boku wa Tomodachi ga Sukunai|0|12|2|Low
4pHA|21405|Bokura wa Minna Kawai-sou|0|12|2|Low
4pHA|14345|Btooom!|10|12|2|Low
4pHA|14741|Chuunibyou demo Koi ga Shitai!|0|12|2|Low
4pHA|2167|Clannad|9|23|2|Low
4pHA|4181|Clannad: After Story|10|24|2|Low
4pHA|6880|Deadman Wonderland|0|12|2|Low
4pHA|6746|Durarara!!|10|24|2|Low
4pHA|2924|ef: A Tale of Memories.|10|12|2|Low
4pHA|237|Eureka Seven|10|50|2|Low
4pHA|23289|Gekkan Shoujo Nozaki-kun|8|12|2|Low
4pHA|8425|Gosick|9|24|2|Low
4pHA|17729|Grisaia no Kajitsu|9|13|2|Low
4pHA|13161|Hagure Yuusha no Aesthetica|7|12|2|Low
4pHA|15225|Hentai Ouji to Warawanai Neko.|0|12|2|Low
4pHA|8630|Hidan no Aria|6|12|2|Low
4pHA|5630|Higashi no Eden|0|11|2|Low
4pHA|11617|High School DxD|0|12|2|Low
4pHA|24703|High School DxD BorN|0|12|2|Low
4pHA|15451|High School DxD New|0|12|2|Low
4pHA|9750|Itsuka Tenma no Kuro Usagi|0|12|2|Low
4pHA|29785|Jitsu wa Watashi wa|8|13|2|Low
4pHA|7054|Kaichou wa Maid-sama!|0|26|2|Low
4pHA|6045|Kimi ni Todoke|0|25|2|Low
4pHA|2927|Kimikiss Pure Rouge|0|24|2|Low
4pHA|22535|Kiseijuu: Sei no Kakuritsu|10|24|2|Low
4pHA|15379|Kotoura-san|0|12|2|Low
4pHA|9936|Maken-Ki!|0|12|2|Low
4pHA|14833|Maoyuu Maou Yuusha|6|12|2|Low
4pHA|10397|Mashiro-iro Symphony: The Color of Lovers|10|12|2|Low
4pHA|20541|Mikakunin de Shinkoukei|7|12|2|Low
4pHA|2926|Myself; Yourself|0|13|2|Low
4pHA|28819|Okusama ga Seitokaichou!|0|12|2|Low
4pHA|30276|One Punch Man|0|12|2|Low
4pHA|2966|Ookami to Koushinryou|0|13|2|Low
4pHA|11179|Papa no Iukoto wo Kikinasai!|7|12|2|Low
4pHA|23277|Saenai Heroine no Sodatekata|9|12|2|Low
4pHA|12531|Sakamichi no Apollon|10|12|2|Low
4pHA|23273|Shigatsu wa Kimi no Uso|10|22|2|Low
4pHA|18277|Strike the Blood|0|24|2|Low
4pHA|12445|Tasogare Otome x Amnesia|0|12|2|Low
4pHA|14227|Tonari no Kaibutsu-kun|0|13|2|Low
4pHA|4224|Toradora!|0|25|2|Low
4pHA|2129|True Tears|8|13|2|Low
4pHA|18245|White Album 2|10|13|2|Low
4pHA|14813|Yahari Ore no Seishun Love Comedy wa Machigatteiru.|0|13|2|Low
4pHA|23847|Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku|0|13|2|Low
4pHA|18179|Yowamushi Pedal|0|38|2|Low
4pHA|29786|Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai|0|0|3|Low
4pHA|21743|Donten ni Warau|0|0|4|Low
4pHA|8525|Kami nomi zo Shiru Sekai|0|0|4|Low
4pHA|20507|Noragami|0|0|4|Low
4pHA|2104|Seto no Hanayome|5|0|4|Low
4pHA|355|Shakugan no Shana|0|0|4|Low
4pHA|13125|Shinsekai yori|0|0|4|Low
4pHA|4896|Umineko no Naku Koro ni|0|0|4|Low
4pHA|10798|UN-GO|0|0|4|Low
4pHA|25283|Kuusen Madoushi Kouhosei no Kyoukan|0|0|6|Low
4pHA|7769|Ookami-san to Shichinin no Nakama-tachi|0|0|6|Low
4pHA|29803|Overlord|0|0|6|Low
4pHA|26243|Owari no Seraph|0|0|6|Low
4pHA|13601|Psycho-Pass|0|0|6|Low
4pHA|177|Tsubasa Chronicle|0|0|6|Low
4pHA|14075|Zetsuen no Tempest|0|0|6|Low
